CÓDIGODO FUNDO;SETOR;PREÇO ATUAL;LIQUIDEZ DIÁRIA;DIVIDENDYIELD;DY (12M)ACUMULADO;DY (12M)MÉDIA;DY ANO;PATRIMÔNIOLÍQ.;P/VPA;VACÂNCIAFÍSICA;QUANTIDADEATIVOS
ABCP11;Shoppings;R$ 93,00;2700.0;0,52%;5,88%;0,49%;4,30%;R$ 909.861.404,80;1,25;1,10%;1
ALMI11;Lajes Corporativas;R$ 1.400,00;240.0;0,00%;0,00%;0,00%;0,00%;R$ 190.509.630,50;0,82;82,00%;1
ALZR11;Outros;R$ 105,95;7592.0;0,46%;7,40%;0,62%;4,63%;R$ 270.791.147,15;1,12;0,00%;4
ATSA11;Shoppings;R$ 114,99;7.0;0,31%;2,64%;0,22%;2,08%;R$ 185.562.997,29;1,06;18,30%;1
BARI11;Títulos e Val. Mob.;R$ 112,49;1681.0;0,99%;0,00%;0,00%;0,99%;R$ 73.477.635,72;1,12;N/A;0
BBFI11B;Lajes Corporativas;R$ 2.713,00;89.0;0,89%;12,48%;1,04%;8,84%;R$ 399.444.263,83;0,88;38,59%;2
BBPO11;Lajes Corporativas;R$ 148,90;17208.0;0,70%;8,64%;0,72%;6,43%;R$ 1.635.395.546,36;1,45;0,00%;64
BBRC11;Outros;R$ 132,30;718.0;0,70%;8,13%;0,68%;6,11%;R$ 163.814.436,58;1,28;N/A;20
BBVJ11;Lajes Corporativas;R$ 67,78;36.0;0,61%;0,96%;0,08%;0,96%;R$ 156.576.867,57;1,17;66,79%;1
BCFF11;Títulos e Val. Mob.;R$ 91,80;35591.0;0,61%;7,50%;0,62%;4,82%;R$ 751.059.805,40;1,03;N/A;0
BCIA11;Títulos e Val. Mob.;R$ 145,00;713.0;0,60%;8,12%;0,68%;6,11%;R$ 210.579.236,05;1,16;N/A;0
BCRI11;Títulos e Val. Mob.;R$ 132,90;3928.0;0,54%;9,62%;0,80%;6,56%;R$ 177.692.890,05;1,29;N/A;0
BMLC11B;Lajes Corporativas;R$ 96,75;110.0;0,41%;5,56%;0,46%;3,60%;R$ 93.153.595,03;1,04;1,70%;2
BNFS11;Outros;R$ 129,31;1265.0;0,69%;8,18%;0,68%;6,21%;R$ 63.996.713,29;1,41;N/A;18
BPFF11;Títulos e Val. Mob.;R$ 104,50;2795.0;0,62%;8,08%;0,67%;6,10%;R$ 258.327.230,08;1,08;N/A;0
BRCR11;Híbrido;R$ 91,90;38213.0;0,44%;14,72%;1,23%;13,65%;R$ 2.132.044.821,50;0,83;15,30%;11
BTCR11;Títulos e Val. Mob.;R$ 100,25;3495.0;0,58%;0,00%;0,00%;5,00%;R$ 293.440.210,13;1,03;N/A;0
BZLI11;Títulos e Val. Mob.;R$ 15,78;1.0;0,00%;0,00%;0,00%;0,00%;R$ 405.050.068,30;1,31;N/A;0
CARE11;Híbrido;R$ 1,35;35004.0;0,00%;0,00%;0,00%;N/A;R$ 252.043.939,54;0,94;N/A;0
CBOP11;Lajes Corporativas;R$ 85,00;1539.0;0,61%;7,82%;0,65%;5,88%;R$ 111.630.955,90;1,08;6,87%;1
CEOC11;Lajes Corporativas;R$ 88,40;1360.0;0,66%;7,95%;0,66%;5,18%;R$ 160.138.866,77;1,00;0,00%;1
